"kNN3" "kNN4" "kNN5" "kNN6" "kNN7" "kNN8" "kNN9" "kNN10" "kNN20" "kNN30" "kNN40" "kNN50"
"0610038B21Rik" 9.63110184340061 9.65382341127014 9.66908239647189 9.6809292945112 9.69039696396526 9.70201927579107 9.71022146541198 9.71821903945173 9.76695443542416 9.79295747967611 9.81259230001429 9.83055264017981
"0610038L08Rik" 9.79910600943533 9.81873575017341 9.83034679344995 9.83946718364724 9.84632183784633 9.85385063598073 9.85826398425024 9.86314474362159 9.89160487598414 9.90639130898509 9.91759648851564 9.92645048370723
"0610039K10Rik" 9.53156334640215 9.55504641599348 9.57350883228876 9.58692843425112 9.59749188543232 9.60796187391068 9.61675079135575 9.62506554862629 9.68010784547959 9.71064485480352 9.73142544753428 9.74884190636362
"0610040B10Rik" 9.87572586914249 9.88605290773236 9.89363734615803 9.89946218399657 9.90343925648355 9.90736331034336 9.91050578748719 9.9132171384942 9.93089459925699 9.93972950324859 9.94578606600932 9.95048547896908
"0610040J01Rik" 9.12606317521067 9.18363544204568 9.22687080492521 9.26052684673218 9.28418498675738 9.31304529825851 9.337092878022 9.35904668670619 9.51008452094082 9.58922696771983 9.64083365907162 9.67917375390372
"0610043K17Rik" 9.67861591064597 9.70011338191816 9.71573566992473 9.72698299150224 9.73680046085428 9.74588151329488 9.75302648161169 9.76052288709085 9.80786797853505 9.84043393579199 9.86226706586864 9.87927368302923
"100043387" 9.40124195329735 9.43025982138681 9.45322464315733 9.47060142315922 9.48397681788269 9.49886238285094 9.50956802082169 9.51959230126272 9.58613414256129 9.62436944056597 9.65227019088397 9.67525925341864
"1100001G20Rik" 6.2013136626574 6.35990951290412 6.49130538747245 6.58161579476201 6.64780520138365 6.71878168331762 6.77929443304145 6.83755878400221 7.22099565622715 7.44467645589422 7.59997160024263 7.72811361236683
"1110001A16Rik" 9.50068974962924 9.52695249446321 9.54641778486774 9.56148038352686 9.57309976086016 9.58563120243505 9.59566931675602 9.60512439426821 9.66881949860747 9.70439302984272 9.73038782933226 9.75187026998889
"1110001J03Rik" 9.23772732948599 9.27506128250237 9.30399747965935 9.32556870574844 9.34244808248539 9.36047469124409 9.37426570062785 9.38736788349298 9.47729266697953 9.53015672783067 9.56933827720229 9.60111736574535
"1110002L01Rik" 9.73368696616975 9.74808431660135 9.75989481700236 9.76841822188094 9.77559679468113 9.78294457743894 9.78834667139418 9.79288799040959 9.82560558596968 9.84390132162185 9.85679034142069 9.86751489328274
"1110002N22Rik" 9.1982248785488 9.23707015731577 9.26740304023602 9.29008479194657 9.30709116187873 9.32597039126627 9.34052310812378 9.35435350464051 9.44373304156314 9.49557326315322 9.53428924080726 9.56672593025702
"1110004E09Rik" 9.06938249380279 9.11575442031112 9.15224704270533 9.17895698081873 9.19895618549963 9.22073391246484 9.23724796440652 9.25343927457123 9.36001738950254 9.42180995226388 9.46803684610804 9.50634298943876
"1110005A03Rik" 9.59127004000224 9.61122022969811 9.62769218121571 9.63919920460287 9.64793623257316 9.65720154743813 9.66462302076814 9.6716672218283 9.71933413524791 9.74735889363379 9.76758293310517 9.78443958654881
"1110006O24Rik" 9.80354508484826 9.81656874886356 9.82736416328807 9.83494676059142 9.84069743432966 9.84630268770622 9.85066317504478 9.85482749311444 9.88166319751327 9.8962654276425 9.90652582118634 9.91458680590758
"1110007C09Rik" 8.86078904685752 8.91636255048209 8.95802694048142 8.98999914971248 9.01532499719659 9.04306663130331 9.06427917379508 9.08489270373287 9.22105241446542 9.29885485107013 9.35534320948801 9.40179287525569
"1110008J03Rik" 9.62145978552466 9.6439231164165 9.66074277736656 9.67191966366463 9.68091437664308 9.69041768977988 9.69746611151181 9.70461162243599 9.75228652482476 9.77929150128572 9.7983090085308 9.81375882777231
"1110008L16Rik" 9.19222564240829 9.23356097420851 9.26498685424025 9.28878351480327 9.30619711126765 9.32595377088862 9.34033281501012 9.35381532384502 9.44308522671353 9.4944393085892 9.53319933856605 9.566358897751
"1110008P14Rik" 9.440293250955 9.46830737552826 9.4894358363845 9.50488896488035 9.51639027300413 9.52959368996946 9.53924337698047 9.54864135118484 9.61198276121128 9.64856328253684 9.67339044149681 9.6939057598096
"1110012L19Rik" 9.65570529412166 9.67508160170619 9.68991323292759 9.70048909700228 9.70857866516323 9.71791327457288 9.72486148899776 9.73133496745262 9.77488520777646 9.79891621336309 9.81666614620185 9.83085027219331
"1110014N23Rik" 9.66720786188136 9.68600312235117 9.70007349244117 9.71072197325008 9.71912387446746 9.72853994005629 9.73523594615969 9.74164570090703 9.7856206252859 9.8116370358656 9.83124567760036 9.84727636193482
"1110017F19Rik" 9.52960902596308 9.55649676125004 9.57619414082259 9.59124297219659 9.60371803580709 9.61797412243872 9.62885951388146 9.63859335985657 9.70170968954443 9.73860926281781 9.76510195693954 9.7867821536815
"1110018G07Rik" 9.83694858901653 9.84785471833664 9.85602892188241 9.86289880457602 9.86782132492758 9.87306751083588 9.87718147255262 9.88098059478128 9.90538565706099 9.91899311148275 9.92835333826601 9.93557846196408
"1110018J18Rik" 9.58765980352647 9.60862329198647 9.62456242061032 9.63665344676578 9.64663388849447 9.65934740759911 9.66750725207628 9.67545902933834 9.72349324872324 9.75050992748989 9.76964045880019 9.78554348295074
"1110019D14Rik" 9.55006950232579 9.5741282189463 9.59312421158775 9.60698528717363 9.61763679161908 9.62987589835038 9.63894981647785 9.6471913248046 9.7005741387522 9.73036697954241 9.75259036165205 9.77085324443001
