"kNN3" "kNN4" "kNN5" "kNN6" "kNN7" "kNN8" "kNN9" "kNN10" "kNN20" "kNN30" "kNN40" "kNN50"
6.76845715626146 7.24724867423147 7.46583286948299 7.62507447333298 7.73275000411456 7.81552540172502 7.8905107331205 7.95530024671771 8.34597182379175 8.52237078555248 8.63032704105051 8.70614174680342
4.75568278506759 5.21155192186624 5.51178826555 5.67225317564343 5.85845661654945 5.99456735062949 6.09104825646312 6.16862257219602 6.65933832642395 6.92755464903424 7.12869793826927 7.26625501235751
6.51697085887134 6.92469913769054 7.15237582537901 7.30802592824449 7.41905833602875 7.5124689468143 7.57803995187399 7.63414665290151 7.93219545488357 8.08380035980945 8.19333699707342 8.27664676987988
7.25248766161323 7.66181769206724 7.89555980352582 8.035260881057 8.13911302839248 8.21778599987941 8.29510871330757 8.34618211637659 8.6686890387461 8.79618344716694 8.87412557000452 8.92870665937326
7.32269561918379 7.81925791231283 8.08941023752049 8.27302666670919 8.39653899959836 8.48520068177566 8.57710101613062 8.62787538479439 8.99789768893191 9.1791300565704 9.28369986875109 9.35975873792972
8.26677877671805 8.60509873879131 8.77716533297328 8.87666570045794 8.9483468338051 9.00606402804832 9.05491398155717 9.09347909900353 9.28618899448956 9.36307991313139 9.40919064912871 9.44025988612941
6.52584698165921 6.95359508111167 7.20650555115491 7.35936280067886 7.49806215435528 7.58239709146826 7.66879787629629 7.74205353602303 8.16173902487008 8.34318973269115 8.45256443940788 8.53436193911725
7.4147738277892 7.91838969773698 8.21600293625339 8.37686313941405 8.5130658974158 8.60551632819228 8.68477894988679 8.75434915428347 9.10462067312197 9.24347414173995 9.3314307554775 9.39467040743505
6.07961300895753 6.37827434728811 6.56189700116633 6.69409691727506 6.80051202680406 6.86808825234657 6.95510413257698 7.02498589645337 7.44755711565944 7.62815956271181 7.7450131538998 7.8300478270901
6.64265782855472 7.09878804982796 7.38860620001708 7.57909233923056 7.7076916640226 7.8013781893775 7.87722820294454 7.94607884906706 8.41030082657874 8.60317731640932 8.71954593652373 8.8038565468681
