"","S.Score","G2M.Score","Phase"
"A16.MAA000652.3_10_M.1.1",-0.611283816468006,-0.618896150522509,"G1"
"A16.MAA000844.3_10_M.1.1",-0.413291412406803,-0.697782951701826,"G1"
"A16.MAA000848.3_10_M.1.1",0.948595557910521,1.8860168999025,"G2M"
"A16.MAA001844.3_38_F.1.1",0.299671236568172,1.8792847458915,"G2M"
"A16.MAA001883.3_39_F.1.1",0.296259612132645,-0.780469174157222,"S"
"A16.MAA001884.3_38_F.1.1",-0.537527017259388,-0.602998346723019,"G1"
"A17.D042044.3_9_M.1.1",0.161241345423086,4.44198896749241,"G2M"
"A17.D042193.3_8_M.1.1",-0.552681752062686,-0.465629784502003,"G1"
"A17.D042479.3_8_M.1.1",-0.347625356574348,-0.224847144055606,"G1"
"A17.D045139.3_39_F.1.1",-0.940483639881209,-0.572624116438296,"G1"
"A17.D045140.3_38_F.1.1",-0.336975706465802,-0.229468634939281,"G1"
"A17.MAA000409.3_10_M.1.1",-0.89816738404812,2.44496275892139,"G2M"
"A17.MAA000596.3_9_M.1.1",-0.79829277594719,-0.70222776235155,"G1"
"A17.MAA000600.3_8_M.1.1",0.363899704057763,-0.413096713750555,"S"
"A17.MAA000639.3_9_M.1.1",-0.97944672347734,-0.882937480796327,"G1"
"A17.MAA000652.3_10_M.1.1",-0.351163677579023,-0.502594073333084,"G1"
"A17.MAA000844.3_10_M.1.1",-0.779976506053859,-0.681738741340728,"G1"
"A17.MAA000848.3_10_M.1.1",-0.825557566766993,-0.690015349458594,"G1"
"A17.MAA001844.3_38_F.1.1",-0.325023993602174,-0.220932725735314,"G1"
"A17.MAA001883.3_39_F.1.1",-0.303630472061602,-0.269459161142387,"G1"
"A17.MAA001884.3_38_F.1.1",-0.450364591680804,-0.716797823147869,"G1"
"A17.MAA001887.3_39_F.1.1",1.66433540344004,-0.161623550030927,"S"
"A18.D041912.3_8_M.1.1",-0.700238078068609,-0.603696287030437,"G1"
"A18.D042044.3_9_M.1.1",-0.380395285060146,-0.48070882862147,"G1"
"A18.D042193.3_8_M.1.1",-0.967318835800743,-0.872697303060183,"G1"
"A18.D042479.3_8_M.1.1",-0.270571254464788,-0.498860144011759,"G1"
"A18.D045140.3_38_F.1.1",-0.208332920913012,-0.278267094400788,"G1"
"A18.MAA000409.3_10_M.1.1",-1.55256993242124,-0.579929714477055,"G1"
"A18.MAA000596.3_9_M.1.1",-0.363167460003622,-0.950989857370791,"G1"
"A18.MAA000639.3_9_M.1.1",-0.355427781503966,-0.452168466792284,"G1"
"A18.MAA000844.3_10_M.1.1",-0.554457681304218,-0.626986246571939,"G1"
"A18.MAA000848.3_10_M.1.1",-0.952047430453047,2.79491478062228,"G2M"
"A18.MAA001883.3_39_F.1.1",-0.381148784843375,-0.693250815775495,"G1"
"A18.MAA001884.3_38_F.1.1",1.8217952225816,-0.0381722454895117,"S"
"A18.MAA001887.3_39_F.1.1",-0.959441052285952,0.781497251086449,"G2M"
"A19.D041912.3_8_M.1.1",-0.77009248633306,-0.627374444004235,"G1"
"A19.D042193.3_8_M.1.1",-0.92048931607145,-0.972245186898484,"G1"
"A19.D042479.3_8_M.1.1",-0.733783636906959,-0.966943574788189,"G1"
"A19.D045139.3_39_F.1.1",1.29163902409938,0.0423081770840483,"S"
"A19.D045140.3_38_F.1.1",-0.435698202856435,-0.352563294884599,"G1"
"A19.MAA000409.3_10_M.1.1",-1.03741292899809,-0.725691854165433,"G1"
"A19.MAA000596.3_9_M.1.1",-0.7662838543502,-1.1122220378375,"G1"
"A19.MAA000600.3_8_M.1.1",0.685134052719147,2.74114684662327,"G2M"
"A19.MAA000639.3_9_M.1.1",-0.418885350521769,-0.107034914218992,"G1"
"A19.MAA000652.3_10_M.1.1",-0.622406020061057,-0.445784870994705,"G1"
"A19.MAA000844.3_10_M.1.1",-0.258570708250202,-0.176279133552362,"G1"
"A19.MAA000848.3_10_M.1.1",-0.659185923973151,-1.14045178627965,"G1"
"A19.MAA001883.3_39_F.1.1",-0.431455851586845,-0.470776017352469,"G1"
"A19.MAA001884.3_38_F.1.1",-0.687157888058436,-0.83378376149927,"G1"
"A2.D041912.3_8_M.1.1",0.850269053431705,2.77837327067213,"G2M"
"A2.D042044.3_9_M.1.1",-0.672510008888068,-0.987901574804596,"G1"
"A2.MAA000409.3_10_M.1.1",-1.00404308296983,-0.855418014696632,"G1"
"A2.MAA000600.3_8_M.1.1",-0.641221368152573,-0.903011137215213,"G1"
"A2.MAA000639.3_9_M.1.1",0.659423417478557,2.49113513887152,"G2M"
"A2.MAA000652.3_10_M.1.1",-0.339186542455925,-0.418276849059145,"G1"
"A2.MAA000844.3_10_M.1.1",-0.385030177760975,-0.774828780762295,"G1"
